store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
2271,"Shawano, WI",1244 East Green Bay,Shawano,WI,54166-2208,44.779317,-88.580412,,Tenant,Green Bay,Open
2272,"Cambridge, MD",2775 Dorchester Sq,Cambridge,MD,21613-6400,38.553138,-76.052818,,Split Backroom,Salisbury,Open
2273,"Flint, MI",5323 E Court St N,Burton,MI,48509-1539,43.022948,-83.600861,,Centennial,Flint,Open
2274,"Minneapolis-St. Paul-Bloomington, MN-WI",200 12th St Sw,Forest Lake,MN,55025-1482,45.276821,-93.001975,Update Existing (Front),Other (Non-Proto),Minneapolis North,Open
2275,"Cincinnati, OH-KY-IN",5720 College Corner Pike,Oxford,OH,45056-1178,39.528903,-84.767527,,Rear Backroom,Cincinnati,Open
2276,"Michigan City-La Porte, IN",333 Boyd Blvd,La Porte,IN,46350-3965,41.621716,-86.692528,,Centennial,Joliet,Open
2277,"Fresno, CA",323 W Shaw Ave,Clovis,CA,93612-3604,36.811301,-119.716929,,Long Modified Split,Fresno,Open
2278,"Erie, PA",1825 Downs Dr,Erie,PA,16509-7303,42.052037,-80.079822,Update Existing (Front),Centennial Plus,Erie,Open
2279,"Baltimore-Columbia-Towson, MD",6721 Chesapeake Center Dr,Glen Burnie,MD,21060-6572,39.190088,-76.605793,Tenant,Other (Non-Proto),Baltimore,Open
2280,"San Jose-Sunnyvale-Santa Clara, CA",600 Showers Dr,Mountain View,CA,94040-1434,37.400846,-122.109748,,Other (Non-Proto),San Jose,Open
2281,"Pittsburgh, PA",2351 Century Dr,West Mifflin,PA,15122-2430,40.341934,-79.946444,,Stockroom Middle High,Pittsburgh,Open
2282,"Hartford-West Hartford-East Hartford, CT",44 Prospect Hill Road,East Windsor,CT,06088-9501,41.919366,-72.606719,,Centennial Split,Hartford,Open
2283,"Providence-Warwick, RI-MA",650 Centre Of New England Blvd,Coventry,RI,02816-6081,41.663328,-71.555254,,Other (Non-Proto),Providence,Open
2284,"New Haven-Milford, CT",1100 New Haven Rd,Naugatuck,CT,06770-5016,41.470601,-73.028002,,Modified Split,Hartford,Open
2285,"Utica-Rome, NY",103 N Caroline St,Herkimer,NY,13350-1716,43.021424,-74.997828,,Seafood External,Utica,Open
2287,"New Castle, PA",2501 W State St,New Castle,PA,16101-1039,41.008938,-80.394511,,Modified Split Backroom,Pittsburgh,Open
2289,"Bennington, VT",212 Northside Dr,Bennington,VT,05201-1723,42.897889,-73.210764,,Other (Non-Proto),Springfield-MA,Open
2292,"Los Angeles-Long Beach-Anaheim, CA",1275 N Azusa Ave,Covina,CA,91722-1246,34.102622,-117.909601,,Tenant,Los Angeles,Open
2295,"Richmond, VA",7901 Brook Rd,Richmond,VA,23227-1336,37.631137,-77.456544,,Modified Split Backroom,Richmond,Open
2299,"Hartford-West Hartford-East Hartford, CT",161 Berlin Rd,Cromwell,CT,06416-1021,41.605452,-72.711872,,Long Modified Split,New Haven,Open
2300,"Pittsburgh, PA",250 Summit Park Dr,Pittsburgh,PA,15275-1202,40.447374,-80.176379,,Seafood Internal,Pittsburgh,Open
2306,"Tuscaloosa, AL",5710 Mcfarland Blvd,Northport,AL,35476-3539,33.236372,-87.615269,,Seafood Internal High,Tuscaloosa,Open
2307,"Salt Lake City, UT",11328 S Jordan Gtwy,South Jordan,UT,84095-4112,40.545757,-111.901408,,Centennial Split High,Salt Lake City,Open
2309,"Cincinnati, OH-KY-IN",8288 Cincinnati Dayton Rd,West Chester,OH,45069-2143,39.345403,-84.392561,,Centennial,Cincinnati,Open
2310,"Knoxville, TN",3051 Kinzel Way,Knoxville,TN,37924-2190,36.031121,-83.866358,,Centennial Split,Knoxville,Open
2311,"Huntington, IN",2800 Wal Mart Dr,Huntington,IN,46750-7977,40.898978,-85.516567,,Centennial,Fort Wayne,Open
2312,"Roanoke, VA",4807 Valley View Blvd Nw,Roanoke,VA,24012-2018,37.300852,-79.960681,,Seafood Internal Plus,Roanoke,Open
2313,"Akron, OH",905 Singletary Dr,Streetsboro,OH,44241-3975,41.252664,-81.362039,,Centennial,Akron,Open
2316,"Cleveland-Elyria, OH",24801 Brookpark Rd,North Olmsted,OH,44070-3487,41.417864,-81.896852,,Expansion (Full),Cleveland,Open
2318,"Indiana, PA",3100 Oakland Ave,Indiana,PA,15701-3240,40.603349,-79.194752,,Seafood Internal Plus,Pittsburgh,Open
2322,"Memphis, TN-MS-AR",577 N Germantown Pkwy,Cordova,TN,38018-6211,35.140809,-89.798258,,Seafood Internal,Memphis,Open
2323,"Akron, OH",3520 Hudson Dr,Stow,OH,44224-2907,41.165835,-81.480055,,Split Backroom High,Akron,Open
2325,"Bremerton-Silverdale, WA",3497 Bethel Rd Se,Port Orchard,WA,98366-5634,47.516683,-122.627667,,Centennial Split,Poulsbo,Open
2330,"Boston-Cambridge-Newton, MA-NH",116 Farmington Rd,Rochester,NH,03867-4352,43.334063,-71.013371,In-Lane,Centennial Split,Boston,Open
2331,"Norwich-New London, CT",155 Waterford Parkway No.,Waterford,CT,06385-1208,41.370551,-72.155068,,Stockroom Middle,Norwich,Open
2334,"Lancaster, PA",2034 Lincoln Hwy E,Lancaster,PA,17602-3329,40.029557,-76.241112,Inlane,Seafood Internal Plus,Lancaster,Open
2335,"Madison, WI",4198 Nakoosa Trl,Madison,WI,53714-1362,43.111058,-89.312831,Update Existing (Front),Split Backroom,Madison,Open
2336,"Boston-Cambridge-Newton, MA-NH",300 Colony Place Rd,Plymouth,MA,02360-7235,41.955507,-70.718142,Tenant,Centennial,Cambridge,Open
2339,"Lafayette-West Lafayette, IN",2801 Northwestern Ave,West Lafayette,IN,47906-6816,40.456955,-86.932941,,Stockroom Middle High,Lafayette-IN,Open
2340,"Lancaster, PA",890 E Main St,Ephrata,PA,17522-2562,40.167234,-76.152799,,Seafood External High,Lancaster,Open
2350,"Toledo, OH",485 Airport Hwy,Wauseon,OH,43567-8709,41.575669,-84.136145,In-Lane,Centennial Split High,Toledo,Open
2352,"Minneapolis-St. Paul-Bloomington, MN-WI",2101 2nd Ave Se,Cambridge,MN,55008-4137,45.570298,-93.197802,Tenant,Seafood Internal,Minneapolis North,Open
2354,"Detroit-Warren-Dearborn, MI",2500 S Adams Rd,Rochester Hills,MI,48309-5508,42.643469,-83.198263,In-Lane,Centennial,Detroit,Open
2355,"Buffalo-Cheektowaga-Niagara Falls, NY",5033 Transit Rd,Williamsville,NY,14221-4132,42.983183,-78.693806,Update Existing (Front),Stockroom Middle High,Buffalo,Open
2358,"Alpena, MI",1180 M 32 W,Alpena,MI,49707-8105,45.064045,-83.476707,,Seafood Internal,Marquette,Open
2359,"Ashtabula, OH",3551 N Ridge Rd E,Ashtabula,OH,44004-4313,41.883457,-80.749532,,Centennial Split,Akron,Open
2360,"Atlanta-Sandy Springs-Roswell, GA",4725 Ashford Dunwoody Rd,Dunwoody,GA,30338-5561,33.933302,-84.333203,In-Lane,Other (Non-Proto),Atlanta North,Open
2362,"Cleveland-Elyria, OH",1868 Warrensville Center Rd,South Euclid,OH,44121-2686,41.508862,-81.540276,,Centennial Plus,Cleveland,Open
2365,"East Stroudsburg, PA",3271 Route 940,Mount Pocono,PA,18344-1329,41.125512,-75.372294,,Other (Non-Proto),Scranton,Open
2366,"Providence-Warwick, RI-MA",1470 S Washington St,North Attleboro,MA,02760-4417,41.933504,-71.350175,In-Lane,Centennial Split,Cambridge,Open
2367,Remaining US,950 11th St Sw,Pine City,MN,55063-2113,45.817419,-92.976943,,Combined Stockroom,Hermantown,Open
2368,"East Stroudsburg, PA",355 Lincoln Ave,East Stroudsburg,PA,18301-2814,40.989973,-75.182857,,Seafood Internal Plus High,Scranton,Open
2369,"Laconia, NH",33 Sherwood Drive,Tilton,NH,03276-5783,43.454423,-71.577081,,Split Backroom,Manchester,Open
2371,"New Haven-Milford, CT",844 N Colony Rd,Wallingford,CT,06492-2410,41.477488,-72.810423,,Expansion (Full),New Haven,Open
2385,"Seattle-Tacoma-Bellevue, WA",762 Outlet Collection Way,Auburn,WA,98001-6582,47.301446,-122.240958,Update Existing (Front),Centennial,Seattle,Open
2386,"Springfield, MA",352 Palmer Rd,Ware,MA,01082-9740,42.237645,-72.278971,Grocery Feature Space,Rear Backroom,Springfield-MA,Open
2387,"Tampa-St. Petersburg-Clearwater, FL",11110 Causeway Blvd,Brandon,FL,33511-2900,27.925404,-82.325442,,Seafood Internal High,Tampa,Open
2388,Remaining US,950 W Votaw St,Portland,IN,47371-1254,40.440901,-84.990153,,Tenant,Cincinnati,Open
2393,"Oklahoma City, OK",640 Se 4th St,Moore,OK,73160-6733,35.333077,-97.478136,,WNM Backroom,OKC South,Open
2394,"Oklahoma City, OK",1500 Sw 59th St,Oklahoma City,OK,73119-7214,35.405472,-97.545329,,Breakroom,OKC South,Open
2395,"Tulsa, OK",9411 S Delaware Ave,Tulsa,OK,74137-5614,36.027636,-95.947001,,WNM Other,Tulsa,Open
2397,"Dallas-Fort Worth-Arlington, TX",2951 Matlock Rd,Mansfield,TX,76063-5020,32.605209,-97.116601,,,Dallas South,Open
